text,date,recipient
"My dear Mother, I cannot acknowledge any letters, as we have had no post for 3 days, the reason I suppose being Xmas parcels etc being sent up to the front & we are left without any. Probably we shall have a weeks post in one on Sunday & have to take everything along with us as we move up on Monday – by train I hope & expect. We shall be in reserve for the first few days & then move up into the front line turn & turn about, probably for some continuous time. The last few days have passed very normally. We had the Brigade Cross country run on Wednesday which was quite entertaining to watch, but our team were only second. To-day we have taken the Cinema Hall all the afternoon & evening & the men are having a concert to-night. The Field Ambulance has collared the hall for their Xmas dinner to-morrow & we have had difficulty in getting places for the men to feed in to-morrow. We are giving them 50 centimes per man out of the Regimental funds to spend on their dinners & they are out to have no end of a feed. Someone has got a pig & endless ducks etc & what with the Daily News ½ lb. of Xmas pudding & a larger meat ration than usual, it is as well that we dont move on the 26th. inst. I had a lot of trouble to-day with the proprietress of a local café as she would ^ not let us her rom, but after getting the Interpreter on to her & then the Maire who was not helpful & I am consequently reporting, we got it though I am not sure who won; as we've got to pay 10 frs for it. Our mules have all been provided with gas helmets now though I haven't seen them wear them yet. As mules eat anything & everything, I don't suppose they will last long though they must be very indigestible. It is a fact that every mule we have has eaten his headstall at least twice & the posts they are tied to have to be armour- plated with old biscuit tins to preserve them. We had a lecture yesterday on our new trenches by one of the Divisional Staff whom we are relieving. The good man did his best to depress us & pointed out at great length all their disadvantages, but some of our fellows who have been up there say that they are no worse than the previous ones we were in, & though they may be a trifle damp, so were our last ones. I rather fancy that the ground behind is marshy, but that won't affect us so much. Love to all from Jack. ",1915-12-24,Charlotte Peirs
"My dear Mother, Very many thanks to you and Father for the ring which arrived to-day & which I like very much indeed. It fits quite A-1. We have not had a riotous Xmas, but we got one old & one new post in & there are still several more days posts to come in. I had a present of Ian Hay's book the 1st 100,000 without any sign as to whom it came from but I suspect Father, so please thank him. It is very good reading & not a bit exaggerated. The part of the Loos show they were in was a bit to the North of Hulluch & they went in on the Saturday morning whereas we didn't arrive till later on. We had rather a shock to-day as they threatened to move our transport to-day instead of to-morrow so there were very hurried packings but they changed their minds & it is all to go to-morrow & we the day after. We had a Battalion concert last night which was quite a good show & there was much more talent than I expected. One of the old performers turned up quite unexpectedly, as he had only rejoined with the last draft after the Loos business & no one realised that he had not come back. We go into billets to start with next week & take our turn later in the line. the town's name begins with P. so you must guess the rest. They have just chucked an intricate case at my head for a Court Martial to-morrow, so I must get it up as there is lots of evidence very badly written. Rather serious too as it is a charge of stealing £30. We have got our Xmas dinner at Hqrs. on to-night Roast goose & other luxuries also some shortbread which Odd has sent. Apparently she has been dining & playing absurd games with Jellicoe himself, so far as I can gather from the mysterious allusions in her letter. I hear you are having an aerodrome at Wallington. I hope the homeless soldiers dinner party has gone off all right to-day. I had Fathers letter about the to-day & am returning the receipt to him. Yours & love to all Jack. ",1915-12-25,Charlotte Peirs
"My dear Father, Very many thanks for a box of very good cigars, for your half of the ring & for Ian Hay's book. Also for the proceeds of the Reversion Company, the receipt for which I return. Please invest the proceeds in War Loan & make it up to £100 stock. I enclose my cheque in blank for the amount. undated I think this will be better than waiting to see if the I. R. people give up any of their claim & if they do I can then decide (an interruption while the new C in C comes into the billet to show himself off the hand that is writing this is still warm from his grasp; he has stayed less than a minute & he with his glittering constellation of attendants has disappeared) what is to be done with their leavings. Needless to say after all preparations for our departure on Sunday night to catch the 1.50 a.m express for the front, the whole thing has been cancelled & we are still here & they have apparently not yet decided what to do with us. The latest rumour is that we are for Hooge, which is a horrible spot I'm told & they shoot at you from behind as well as in front, but it is only a rumour & quite likely to be absolutely wrong. Yesterday in spite of its being the sawbath, I had a long day with my burglars on the F. G. C. M. but finished them off in the evening. This morning we had a route march, almost 10 miles and the Brigade is being inspected to-morrow by the Divisional G. O. C. I had a letter from Ernie telling me all about your drive. I expect your trouble was the valve spindle too, & that the pram will be quite all right now the spindle is mended. Cecily told me that you had a bit of a cold, but I hope it is all right now. From Odd's letters I gather that she has dined with Jellicoe on the Iron Duke & plays rat-tat with him & other brass hats round the state room table afterwards & that she has also been shewn over the Queen Elizabeth & is acquainted with all sorts of secrets about the Dardanelles business. Love to all Jack. ",1915-12-27,Hugh Peirs
"My dear Father, Many thanks for yours of the 23rd & copies of Gs letters. I am much obliged for these though I am afraid it is a great labour getting them out. Also thanks of the Pern Mine Report. It reads well enough but it doesn't look as though there will be any returns yet awhile, though I am in two minds whether to send them something & take up a few more shares, as I should want to kick myself if the thing turned up trumps, but one is suspicious of mines, especially in that country, where they have an earthquake or rebellion fairly frequently, I imagine. And I don't see how they are going to solve the labour question. I am writing to the Company to find out their answers to these points. We are still here, & my billet owners say we are not going to move till the 6th inst. though how the dickens they know seeing that neither we nor the brigade know passes my comprehension. However they are quite confident about it. The C. O. had the battalion out this morning in the field, as the G. O. C. has told us to do extended order work. I don't know if the good man imagines we are going to stroll through the Hun line into the open country beyond, but I don't think its very likely, anyhow not at present. There is no news otherwise Yours Jack. ",1915-12-29,Hugh Peirs
"My dear Cecily, Many thanks for your last & for a Tatler. Also for two reprints of Kiplings Articles which I was very glad to have. We are still where we was & show no signs of movement. We had a little excitement yesterday as our mess corporal went mad & chased the signalling subaltern through a barbed wire fence, with heavy loss. It won't do the S. S. any harm, as he is a bit of obnoxious & I was quite cheered to see him to-day with his face tied up in bandages. The mess corporal, who is really the most harmless of beings & is only a mess corporal, because he has shown signs of nerve strain before, has now returned to hospital, from which he writes gaily that he soon hopes to be back again but not if I know it. He would probably poison us. The trouble is that I can't get a substitute & though we have a chef & a butler both highly suitable they are both otherwise employed, the chef being a sergeant bomber, so I won't be allowed to collar him. I have sent in a substitute to St. Omer to-day to do our weeks shopping armed with 120 francs, Lord only knows what he will bring back. Our last mess corporal, who is by trade an actor & recites dismal monologues at the Battalion Concerts, was a bit of a cook in his way & the least solid of our patisserie was sketched by his deft fingers. The substitute is obviously a stone mason by trade, so I expect that our digestions will suffer. Smith, Transport Smith, has just come back from Hazebrouck where he learnt that the 24th Division have refused to take over a line of trenches & have been sent back to England, so now you know where I am though I had no idea of it myself. We have just got a new officer, one of the many subalterns, ^ to whom they have nothing at home to give to keep them quiet. We are overstrength as it is, but I don't mind as he has come after I have had my leave so wont have to come in before my next one. Love to all Jack.",1915-12-31,Cecily Peirs
"My dear Mother, Very many thanks for your letter enclosing the cutting from the Herald which arouses considerable interest. I am glad you got such good seats at the Memorial Sevice. They have gassed us again, but with no material success and they didn't attempt to attack, but it was pretty thick while it lasted. Really one might as well live in a gas-works as this place -- we've hardly got straight after the last show. Personally I was out of the whole thing except that I was ready at any moment to take up reinforcements if required and luckily they did not want us. Luckily because the old Bosch was putting a barrage of shrapnel on several points on the way up and I am the last person to want to go out walking through a barrage. From what I can see of the line I think the Hun must have gassed himself as well as us as he has burnt the ground all round his trenches as much as round ours. However this show is nothing like as big as the last and by this time we are quite used to it. Everything has been very quiet since, and we are coming out to-night, as the men want a bit of a rest and gas tries them rather hard. The Times I see says that things are going to be busy up here, so if the Hun gets going, it may mean that I won't be able to get back by the 16th prox. However I will do my best. Love to all Jack. ",1915-03-30,Charlotte Peirs
"My dear Mother, Many thanks for a copy of the Autocar and to Cecily for two papers the L. O. and P. S. all of which arrived to-day. Yesterday and to-day have been very quiet and I have been indoors most of the time as it has rained persistently. We had a concert on last night in the local cinema and managed to raise one or two respectable performers, though most of them were pretty rotten. We have now heard that we are to move in the middle of this week and shall be on the way up when you get this. We go by train to start with and then move a little way and sleep and on the next day. We don't go into the front line at once, but should be there say within 10 days from now. We have spent some time this afternoon trying to get a gramophone to work but owing to the owner having gone on leave and taken the precaution to take the winding key with him, he has baffled us for the present. I had a letter from Colins to-day written on Xmas day after he had just come out of the trenches. He tells me that Murf is at Palermo in the A. S. C. Lucky beggar with the prospect of a pleasant spring time on the Riviera with the Sicilian equivalent. Love to all Jack. ",1916-01-02,Charlotte Peirs
"My dear Mother, Very many thanks for yours of the 30th also for Cecily's. The Autocar and the Hassall Bertin Tapestry. Aquascutum sent the strap all right. thank you for getting it out of them. I have been in St. Omer all day to-day buying a hand cart for the Battn. to use up in the trenches. It was pretty hard to get and the lady did her best to rob me. but with the help of the Brigade Interpreter we got her to reduce the price. Incidentally I got a very decent lunch and a bath the latter very welcome, as the inhabitants of this place do not bathe. I didn't want to ride in, as it is a long way on a very uninteresting road, so I cadged rides off passing vehicles and got in for some of the way in a Divisional car and the rest in the post office van. Coming out I struck another Divisional Car for practically all the way and then a friendly French officer brought me right in. I missed a lecture on our new trenches, but it won't matter, as we are going into reserve at first so I shall probably wade round them some night before we go in. An officer of the Battalion whom we are relieving has come down to take over these billets, with the interpreter who used to be with us (the one that wept by the roadside) and is now with them. he seems very much as he was except that he has got horribly fat. When we go up I shall probably see something of Wipers. I will describe it if I can. It will be very interesting to see. and we may live there for a bit. Of course underground. The Divisional fellow who lectured to-day said that the drainage of the trenches up there had puzzled them for sometime, till someone discovered an old map of the place in the British Museum, which told them all they wanted to know. I am on a Court Martial to-morrow and may not have time to write for a few days. Love to all and Joe if he's with you. Jack. ",1916-01-03,Charlotte Peirs
"My dear Mother, Many thanks for your and Cecily's letters of the 2nd which I have just received, also for Richard Carvell, which I am reading and like very much, and Quinneys from Cecily which I have not had time to start yet. We moved from our last billet on Tuesday leaving the house at 4.45 a.m. which, you will appreciate, suited me down to the ground, as I always was an early riser. We had a 3 hour journey by train, which sounds long but which was really only about 30 miles, and then we marched to our rest camp in this area which we shall use when we come out of the trenches. It is only about a mile from our old one, where we were before we went back. The new one is an appalling place as regards mud, and we had a bad time the first night, as we never got into touch with our transport till about 10 at night, and consequently got nothing to eat. yesterday we moved up into Dugouts within a mile or two of the line, and we stay here for a few days till it is our turn to go right in, and then we have a few days there and then we go back to the rest-camp for more and then repeat. The dugouts we are in now are very good, quite new and dry. The objection is that we are surrounded by Batteries which loose off fairly continuously and they are all big guns, so they make the Deuce of a noise. We are in grounds of a Chateau which is reputed to belong to a Hun whom the Belgians got rid of early in the war as a spy. Anyhow true or not, so far the Hun has spared the Chateau, and I trust he will continue to do so. I am in quite a comfortable hut with a bedstead, but no mattress, but it is inclined to be chilly, as if it is made of canvass. However it promises well as we have had a terrific galewith rain, and nothing seems to have come through. Our difficulty is to get anything cooked, as we have no stove, and as I am doing the housekeeping I have to care for these things. I hear today that the Hun has proposed peace through the Rothschilds, and the story gives the exact terms so I don't believe a word of it. Everyone seems to think that they're getting fed up, and all down the line we seem to be going out in parties dropping bombs on them, but they very rarely come over and drop bombs on us. Some people think that they are going back from this bit of the line, so as to make theirs shorter, but I devoutly hope they don't, as we shall have nowhere to live if we follow them. I think Reggie Daw is up near here somewhere. I heard that some of his Division were in the train for Egypt after having got rid of all their kit, and then they were hauled out again. Rather hard luck when they were all experiencing a pleasant winter season in Cairo. Love to all from Jack. ",1916-01-07,Charlotte Peirs
"My dear Cecily, Many thanks for your letter of the 6th, also for a L. O. Bystander and sketch. I had an enormous mail yesterday which is always gratifying. The last two days have been quite interesting. Yesterday I went up with the C. O. to look over the positions we have to take up if an attack is made (as you know we are at present in local reserve). This meant a stroll round Wipers, which I had not seen so close before. It must have been a lovely old place before the arrival of the Bosch. It has a sheer wall on its Eastern and S. sides with other ramparts in front and though the walls have been badly straffed they look as good as ever. I've never seen such a place for shell holes and craters. All the houses seem to be knocked about, tho many are standing on the outskirts. I believe the centre of the town is all in ruins. but I shall see that another day. The whole country here is full of batteries of various sorts and sizes. You see a nice looking bush and out of the other side a gun nozzle w spout is to be observed. Similarly out of old houses and even out of the ground and the beastly things loose off just as you are going in front. We found our positions all right tho they appear to be more or less under water, but I hope we shan't have to occupy them. To-day we went further up to the Battn. Hqrs. whose trenches we are taking over. quite a pleasant walk on a very jolly day. One blessing is that you can hardly get up to our front line trenches in the day time so I shall probably only do one journey p. d instead of two. Everything is done on a grand scale. If they catch sight of you, they snipe you with Whizz bangs instead of a mere bullet and you are quite indignant if they shell your dug outs with anything less than a 9 inch crump. I was very amused when the adjt. retur (of the other battn) arrived back breathless having been chased back along his trench with whizz bangs. It was the idiot's own fault as he had a shiny black Mackintosh on which shone in the sun like a greenhouse and of course the Hun was tempted. On the way back we watched them put 100- odd shells into Wipers. One of the big ones got the top of one of the remaining churches and fairly did for it. One thing about these trenches is that neither side fires much with their rifles. I suppose such things are too small for them and when in the trenches they are fairly all right except for the mud. In our other places it has been al rifle fire and only moderate shelling. The men have great difficulty in cooking up there, so I am off to Poperinghe to-morrow to see if I can get any oil stoves, as they seem to solve the problem. Cooking with coal or wood means smoke and that means a shell at once. We are well in the aeroplane area of both sides so we get all the bits of the shells exploded near them dropping back on us. I am thinking of adopting an umbrella. I have just had letters from two most unexpected people. Alice Orton and Ina Cave. Love to all Jack P. S. I've paid the license for the pram. so you can ease your mind about driving it. ",1916-01-09,Cecily Peirs
"My dear Father, Very many thanks for your long letter of the 4th enclosing the Application From which I have signed and return. I was very interested to hear about the consumption test on the pram. I take it that it will work out about 32 m. p. g. which I suppose is fair tho' I think she ought to do better. Those Zenith Carburettors are very sound but you can't play tricks with them to adjust them and I daresay she would do more with a different make. I shall require a commission from Wardill if everyone gets one. they will all probably try for something with 4 Cylinders, which are all right for a man, but rather difficult for a girl to start. I have met several on the road quite helpless because they couldn't turn the handle. I have heard from the S. Antonio people on the subject of earthquakes and labour and am still in two minds about taking up more shares. They have got S. F. Edger on the board, which may be a good thing as he may be able to get the capital, but from what I have read and heard of him, he is an obstinate blighter and will probably cause trouble in the end. However we are not very deeply involved anyway. With regard to North, the only people I have heard of their taking for ammunition work are those skilled in certain trades the names of which I have never heard before. We sent some to be tested last month but none were taken from this battalion, tho' the W. Kents had some taken. I should recommend that she applies to the Munitions board, stating exactly what the boy's trade is (engineering is too broad) and if she gets a letter from his former employer certifying his efficiency, I should not be surprised if they send for him, provided that his is a trade in which they are short of men and that there are no testers near his Battn. If he can be tested out here no doubt he will be. I have written another letter to-day home. Yrs. Jack. ",1916-01-09,Hugh Peirs
"My dear Mother, Very many thanks for your letter to-day. Also for an Autocar and for a letter from Odd. I have spent the day in buying oil stoves for the men to use in the trenches. I first had to find the Cashier and of course found that when I had got to his office, he was out for the day with the at a place a mile back on the road I had come and then my gee shed a shoe and then I had a 5. mile ride into Poperinghe to get the stoves and I hadn't the vaguest idea what the French for stove is. Luckily I met an interpreter who told me and then I went into every shop in the town to buy them, but there were none till at last I found some. Obviously made in Germany though labelled very big made in Sweden. Still they are worth having whether made by the Hun or no. and then I hadn't got enough money to pay for them so the trusting lady let me go away owing her 5 fr. or more which I suppose I shall have to pay, tho Heaven knows she has made a 300% profit already. I daresay you have seen that they have sent some men from the fleet to look round. I believe that the sailormen were getting rather bored at the way our people get leave and go back to rest while they are always at sea. so they sent some out to see what it was like. They put some of them first of all for 48 hours in the trenches by Boesinghe at the W. corner of the salient which is a waiting spot, and when they had finished there, they offered to show them the upper end of the salient and Wipers. and they asked at once must they go. So they said they must and they went and after a little of Hooge they are completely cured. This is probably all a yarn, as I see some of them were at Hulluch in the S. but I can quite imagine that a dose of Hooge would cure anyone of anything. My candle is going out and I've not got another, so I must stop. Love from Jack. ",1916-01-10,Charlotte Peirs
"How much of what I am going to write is true I cannot vouch for, but I will tell you as nearly as I can what the version of the blowing up of the Natal is, down here. It is supposed that 9 (some say 12) ladies and a few children were on board at lunch and early in the afternoon a Pinnace left the Ship to go and bring 40 children on board for a Children's Party, and soon after the Pinnace had gone towards the shore, there was a large black cloud and the Natal disappeared. The water-tight doors are said to have jammed so everyone below was shut in. A few Bluejackets escaped some very much injured. I knew of an Officer's servant who had his hand blown off, and another man was badly scalded. The Captain's and commander's Wives were both and board, and their deaths have been in the Papers as ""suddenly on the 30th,"" but no place mentioned. Back and Hutchings were the names. It is said to have occurred in the Harbor off Invergordon, but opinions differ as to whether it was off Cromartie. My Geography is shaky about Scotland but someone said the places are on either side of the Bay. Supposed to have been done by a Clockwork Bomb same as the Bulwark and Irene. The Officers saved were said to be on leave at the time. I knew Fleet Surgeon Tuck very well, and when I've time will write, but he won't say much that one has not heard before. The Backs' two children were waiting with the Nurse to go off to the ship. They were well known here, he being the Flag Captain for some time. I am told the Factor of Invergordon his wife and 4 children all were on board. It is really the most ghastly thing. Of course Captain Back was a marked man, as he'd been the means of having several German Submarines caught. I knew Staff Surgeon Hooper well by sight, having often seen him playing Cricket. It is said the Wife and children of the Officer in charge of the Pinnace were on board. ",1916-01-11,Unknown
"My dear Cecily, Very many thanks for your letter to-day, also for a Q. book which I got yesterday. I am very glad to hear the pram is going strong, and that she is not eating her head off. I write this from my little dug out in a wood, in what is left of it, about 300 yards behind the line. The dug out is not unlike a rabbit hole below the level of the ground and inclined to be moist, and I have to have it bailed out but the water doesn't interfere as I've got a floor with a hole for the water beneath. I also have a bed table and chair, so I am not really badly off. The weather is a bit chilly with a strong wind, but I found last night that I kept quite warm after blocking up the door. The trenches here are a maze, as they run through a wood and have belonged to the Huns and ourselves at different times. It is very difficult to see where one's own trenches end and the Huns begin but he is very quiet here and though he shells from time to time and also drops in some enormous minnenwerfer bombs which break up the trees and make them fall into our trenches, he is really comparatively peaceful. I fancy that he gets such a deuce of a time from our guns round about that he doesn't make himself too obnoxious. The Divisional G. O. C. announced his intention of coming up to-day to look round, but he never got nearer than Brigade Headquarters which after all is only wise as we don't want him. I thought it would be a good thing to put a man in the wood and tell them to fire somewhere near by and then swear that there was a sniper out for him, but such a strong course did not prove necessary. The rations cause rather a bother as our battalion is very much split up with various machine guns. and bombing posts in the most unlikely places. We have a wooden tram line to bring things up on, but as we had before but it doesn't come far enough and it is a very long and muddy walk to bring them on. On getting here yesterday we went right through Ypres and saw the parts which have been most badly damaged. Parts of the Cloth Hall is still standing but the houses all round and what I imagine was the Cathedral are simply pounded to atoms. The outskirts are not so badly hurt, though I don't suppose there is a single home in the place which is untouched. It was very curious walking through the streets, where the houses are still standing and not a sound or movement in them, as of course they are all empty. Still more curious as we were going through the center of the town where most of the strafing has been and were surveying the scene of desolation with feelings properly attuned, a strong and lusty chorus of some topical song burst out of the bowels of the earth at our feet, proceeding from one of our Battalions who I suppose are quartered there and were trying to cheer themselves up in such a godforsaken spot -- I had to spend 2 hours at X roads known as Hell fire corner while the Battn was going by in parties, and was very nervous lest the wily Bosch should shell it but he was quite silent. As a matter of fact these places get their names very easily I know 2 shrapnel corners and one Hell blast corner and I've never seen a shell at any of them. Anyhow this particular spot was like Piccadilly Circus with endless streams of men going and coming fatigue parties, dozens of limbers which make enough noise to stir even a Bosch into activity and a motor lorry. but nothing happened and when I left there was a Bank holiday crowd still there. We are being relieved at once and then do a tour at the back and then up again. I don't know why they are giving us such a short time here this spell, but we don't mind. Of course we were all detailed to take over one section of the trenches and had made all arrangements to do so and at the last minute were sent off to take over another, but that is like them. The C. O. is going on leave this week if he can. So I shall have the Battn. on my hands for a few days. Love to all Jack ",1916-01-13,Cecily Peirs
"My dear Father, Many thanks for yours of the 13th and for the cigars, which look to be in good condition and if they smoke as well as the last will be A1. have you taken out the Driving License 10/- or the owners license (which in this case is £3.3.0) I didn't take out the owners license last year as you did it for me, but I have paid for it this year though it has not arrived yet I have just heard from Katie Paull. she has got a small Peugeot like the thing the Hollingsworths in Strawberry Lane have. They go like anything but I think the pram is probably more suitable for our requirements. I have heard from Cousin Alice that the girls and Decie looked so pretty at the wedding and commenting on the fact that none of the elders were there and she puts it down to the discomfort of travelling in winter so any pleas of yours or anyone else's of overwork have not washed. I am very sorry for you that Cox is going but I hope Miss Jarred will carry on all right. Yours Jack ",1916-01-16,Hugh Peirs
"My dear Mother, Many thanks for your last and for an Autocar. Also thanks to Cecily for her letter received to-day and for a Primus stove arrived to-day. The gloves have arrived and I like them very much. The stove should be very useful. We are still in our rest camp, where we fondly imagined we were at peace with everyone except aeroplanes, only they have now started shelling the neighborhood. They don't appear to be doing any harm but of course the whole district is full of huts and troops and they may get on to one in time. They are miles from us anyhow. I expect it is the same gun which shells Poperinghe which is only a little way off. I have had a present of some Tiptree jam to-day from Aunt Katie Paul. Cecily mentions eatables in her letter and I should like a cake very much as we haven't had one for some time. Our time now is chiefly occupied in repairing a small fort, which is now in the Battalion's charge. There are lots of them stuck about the country in case the Hun breaks through and we have to keep one in repair. It was handed over in a pretty bad state and wants a lot of work on it. They caught a spy near here the other day. He was in a cottage near one of our big guns and one morning they noticed that the Hun was feeling his way up to the gun and when he got there plumped several shells right round it. He was the owner of the cottage and everyone noticed that his family rushed out in white garments, evidently to attract the attention of an aeroplane overhead, so they took him off in handcuffs. Anyhow they smashed up our gun I believe. A better spy story is of a baker somewhere near here, and everyone knows he is a spy as they never get shelled unless there is smoke going up from his chimney. But they don't touch him as he is so valuable because they all go to ground directly his chimneys smoke. and no damage is done. They even take the baker with them to make sure he is not hurt as of course he is invaluable as a warning for shell fire. We are taking over another section of trenches next door to the ones we had last time, so I shall have to go up and have a look round before we go in. Then when we come out we shall go back into our last lot and so on. I wonder if you gave Uncle John a run in the pram. He was much impressed by Aunt K.'s and she says he will get one himself and I shouldn't be surprised. Love to all Jack. ",1916-01-20,Charlotte Peirs
"My dear Mother Many thanks for your last letter also for a Pett Ridge Book from Cecily and The Climber from yourself. We are still back in camp and will be going up again early next week. I have been up to-day to have a look around but did not go into the first trenches but only to Battalion Headquarters which in this case are a long way behind, so far that they keep a forward Battn. Headquarters a good deal further up, which I gather is an inconvenient sort of place but which I shall inhabit with the signalling officer and some of the satellites. The Primus Stove has come and should prove very useful and I am very much obliged for it. The Battalion Headquarters are very good deep down in a big bank of earth and except that they have no light they would be ideal. They have electric light laid on but the machine only works about 4 hours per diem. So the rest of the time they have to rely on candles. However this is a small consideration and the dug outs are well furnished with things which have found their way there out of Wipers. I went through the town again to-day and as I have lately seen some postcards of what it used to be, it was rather interesting comparing its present and past. I saw an aeroplane battle yesterday and one came down but I could not see where it was. It fell behind our lines and a French one came down shortly afterwards and hovered over the place, so I trust it was a Bosche. They seem to be doing rather well with their new aeroplanes just now though to-night's papers say we got 6 on Tuesday. The one I saw ought to be mentioned in to-days communiqué which of course I've not seen yet. I'm told that there was a good description of our trenches in last Tuesday's Daily mail but I didn't see it, so cannot say for myself. Our new doctor has arrived -- rather a little worm, I fear. Love to all. Jack. ",1916-01-21,Charlotte Peirs
"My dear Mother Very many thanks for your letter of the 20th. I suppose the new plot is at New Anzac on Sea which I have seen advertised. Congratul- ations on winning it though they will probably start dunning you to build a house on it and then come down on you for drains and making up the roads. However you may be able to sell it or they might swop it for a plot of the same size in Bond St. which would really be worth something. I am very glad to hear Miss Waldie is calling, as I don't think she has any friends in the country and I thought from her letters that she was rather stranded. I have been able to tell her nothing about her brother and can get no information anywhere. He was a very good chap and I should very much like to hear that he is all right, but I'm afraid the chances are against him now. We have got another new subaltern arrived to-day, which makes our normal strength well over what it should be, but there are so many of them away on odd jobs in the Brigade and Division that we are sometimes hard put to it to find them and a few more are consequently not unwelcome. They have to-day started selling whiskey in the Poperinghe Canteen which is a blessing to a mess president as we have always had to get it from Havre before, and it never arrived when wanted So we have had to fall back on the local water which has a distinct taste of its own and has to be disguised in tea or cocoa or cafe au lait. Please thank Cecily for a London Opinion and Passing show arrived to-day. It looks from to-days papers as though the aeroplane I saw come down two days ago was one of ours as I see the Huns claim one as coming down behind our lines on the Yser. I notice that the Belgians do not call Wipers Ypres but Yper. Anyhow that is the name on the Station Platform board. Perhaps Ypres is French and Yper Flemish. I have seen direction posts pointing to Yper-Ypers and as they do most of their notices in both languages this may be the explanation. Both sides nowadays seem to spend their ingenuity in playing tricks on the other. Up here somewhere the other day we loosed off a lot of smoke to make the Huns think it was gas, which they did and accordingly manned all their trenches and then we turned all the guns we'd got on to them. and then they started strafing one of our trenches and when they had gone on for a long time they sent out a patrol to have a look to see whether we had taken our men away and the patrol found that we hadn't and got sappered. The G. O. C. I'm told was very sick that they didn't collar them, as they want to find out who is opposite us, but it is none too easy as the ground between the trenches is a mass of shell craters and mud and you can hardly get along outside the front of the trenches. I shall be busy to-morrow so may not write and will send my next from my little rabbit hutch. Yrs. Jack ",1916-01-23,Charlotte Peirs
"My dear Cecily, Many thanks for yours dated Monday Jan. 13th. So far as I know Monday was not the 13th. so I don't know whether it has taken a week or more to get here. but it is about your and Fathers drive to Epsom in the go-cart. Many thanks for a book from you and a London Opinion and Passing Show which I got 2 days ago. We came up yesterday and I thought I should be back in the ramparts of Wipers, but the C. O. turned up last night, so I have come up to our forward headquarters, which consist of 3 or 4 fairly respectable but undoubtedly moist dug outs, where I dwell in state with the Signalling officer, a Gunner Observation Officer and their menials. We are rather off the track and everyone is strictly forbidden to move about near by or to come in to the place by day or the wily Hun will inevitably spot us and then we shall be crumped out of it. They landed a whizz bang bang on top of one of the dugouts yesterday, but did no harm and I am in the dug out at the moment. I am within a few yards of the Menin Road, which Ted Bourchier used to talk such a lot about, but which cannot be really so bad, as the trees each side are still standing. I don't fancy using it more than necessary as they play machine guns on it at odd intervals. Hell fire corner which I have already told you is about 300 yards off. Our trenches are shewn on the map as being in --- Wood, and I went round last night expecting a moonlight stroll through the sylvan glades, with the nightingales warbling around, but in reality the place is as open as the palm of your hand, the wood having ceased to exist. The place is in a most awful state, as it has been fought over endless times and is full of crump holes and old trenches and German wire and a few mine craters and is really nothing less than a rubbish heap with a few trenches which we occupy built up among the rubbish. They had a tremendous strafing a few days ago and some of the trenches were knocked to bits and we have got to build them up again. We had a Zeppelin or some sort of Airship over our camp 2 nights ago. I heard the thing but did not realise what it was, so did not go out to look. But it was very high up and could hardly be seen. It dropped some bombs at Poperinghe and another one came over Wipers last night and dropped a bomb or two there. I think we have been doing a little bomb dropping somewhere and this is their retaliation. Excuse this paper, but it is raining and the dug out roof is hardly waterproof. Love to all Jack ",1916-01-24,Cecily Peirs
"My dear Cecily, Many thanks for another letter from you which arrived last night. I am still here in my little dug-out, a trifle moist but otherwise quite comfortable. It is just 3 pm and I am about to have lunch -- our hours in the trenches are always very topsy turvy. One goes round our trenches at night and sleeps by day. I went to bed this morning at 5 am and got up for breakfast at 11:30 am. In our particular case one can only go round at night as half of our trenches you can only reach them as the communic- ation trench has gone and you have to go overland. But I daresay in time the trench will be reclaimed. There is a fair amount of artillery strafing and aeroplane shooting going on now, but otherwise in the day time things are pretty quiet. I have just been having my dug out bailed out. It is quite a long job to keep the water down below the flow boards. the Primus stove is a great boon here as we can get our meals at any time and I had a very good early meal at 4 am this morning. The C. O. and myself in our solitary state cooking cocoa and milk to help down tongue and bread must have been very edifying. I had the G. O. C. to call yesterday morning. I let him see I didn't want him, as we don't allow more people than possible to come over here in the day time, as they have to come across the open and the Bosch can see them. and he was quite humble. He was very anxious to know whether I had reported a little shelling that was going on a little way on the flank and pointed out that I ought to do so as that Battalions wires might have been cut, but the good man hardly realises that there is shelling going on around here all day and that one would have to be glued to the telephone to report it all. However the good man went up to the Battalion on our right and came in for no end of a strafing. So he went home sadder and wiser. The Battalion aforesaid got a little of their own back in a bombing stunt which was going on at about 3.30 am this morning and which was very effective from a spectacular point of view. The Hun opposition trench planted a flag in between the lines the night before we came in. The regiment we relieved tried to get it but could not. One of our fellows however got it in last night. It is a little Bosch flag with the Double Eagle in the centre and an inscription has been printed on it evidently by the Bosch who planted it. I have not got a copy of the inscription. but it alludes to Dicke Bertha, which is their polite way of referring to their 17 in gun. Dicke meaning bulging and Bertha Miss Krupp -- a delicate allusion to her proportions It also alludes to the 27th inst, which I believe is the Kaiser's birthday, so I suppose we shall do all we can to strafe them then. We have been experimenting with pigeons to-day and get our messages back to a town behind and so up to our Brigade very quickly. Love to all Jack ",1916-01-25,Cecily Peirs
